Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Sunshine Chanderi Lehenga,sunshine-chanderi-lehenga,<p>Bring radiant sunshine to festive occasions with this lightweight Chanderi cotton lehenga. Detailed with delicate tone-on-tone floral embroidery and finished with a comfortable elasticated waistband. Fully lined with 100% soft skin-safe muslin cotton for zero-itch twirling all day long.</p><ul><li>Fabric: Pure Chanderi Cotton</li><li>Lining: 100% Breathable Muslin Cotton</li><li>Set Includes: Crop Top &amp; Flared Ankle-Length Skirt</li><li>Care: Dry Clean Only</li></ul>,Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Yellow, Chanderi Cotton, Festive, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-YEL-23,,Size,2-3Y,,,,,,,,3199.00,3899.00,1800.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga.jpg,1,Sunshine Chanderi Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga.jpg,FALSE,Sunshine Chanderi Lehenga - Meeeku,Shop Sunshine Chanderi Lehenga for girls 2-7Y at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,sunshine-chanderi-lehenga,,,,,,,,MEEK-YEL-45,,,4-5Y,,,,,,,,3199.00,3899.00,1800.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga_model.jpg,2,Sunshine Chanderi Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,sunshine-chanderi-lehenga,,,,,,,,MEEK-YEL-67,,,6-7Y,,,,,,,,3199.00,3899.00,1800.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga_swirl.jpg,3,Sunshine Chanderi Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_yellow_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Teal Bloom Dress,teal-bloom-sequin-dress,"<p>Crafted for magical celebrations, this teal dress features hand-embroidered gold floral sequin motifs paired with a light, layered tulle net skirt. Fully lined with 100% soft breathable cotton to ensure zero-itch comfort all day long.</p><ul><li>Fabric: Tulle Net &amp; Silk Blend with Gold Sequins</li><li>Lining: 100% Pure Soft Cotton</li><li>Includes: Dress + Matching Headband &amp; Bows</li><li>Care: Gentle Handwash / Dry Clean</li></ul>",Meeeku,Apparel & Accessories > Clothing > Dresses,Indo-Western Dresses,"Dresses, Indo-Western, Teal, Tulle Net, Sequins, Festive, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-TEAL-23,,Size,2-3Y,,,,,,,,2999.00,3699.00,1400.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress.jpg,1,Teal Bloom Dress - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress.jpg,FALSE,Teal Bloom Dress - Meeeku,Shop Teal Bloom Dress for girls 2-7Y at Meeeku.,,Apparel & Accessories > Clothing > Dresses,Unisex,Kids,,,,New,FALSE,,,,,
,teal-bloom-sequin-dress,,,,,,,,MEEK-TEAL-45,,,4-5Y,,,,,,,,2999.00,3699.00,1400.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress_model.jpg,2,Teal Bloom Dress - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress_model.jpg,,,,,,,,,,,,,,,,,
,teal-bloom-sequin-dress,,,,,,,,MEEK-TEAL-67,,,6-7Y,,,,,,,,2999.00,3699.00,1400.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress_swirl.jpg,3,Teal Bloom Dress - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_teal_dress_swirl.jpg,,,,,,,,,,,,,,,,,
Blush Rose Net Lehenga,blush-rose-net-lehenga,"<p>A dream in pink, this ensemble pairs a high-neck jacquard top with a cloud-like tiered net lehenga skirt. Features scalloped gold lace trimming and skin-safe cotton inner lining.</p><ul><li>Fabric: Woven Jacquard Top &amp; Tiered Soft Net Skirt</li><li>Lining: 100% Breathable Cotton</li><li>Detail: Scalloped Gold Lace Border</li><li>Care: Dry Clean Only</li></ul>",Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Pink, Jacquard, Tulle Net, Gold Lace, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-PINK-23,,Size,2-3Y,,,,,,,,3299.00,3999.00,1900.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga.jpg,1,Blush Rose Net Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga.jpg,FALSE,Blush Rose Net Lehenga - Meeeku,Shop Blush Rose Net Lehenga at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
,blush-rose-net-lehenga,,,,,,,,MEEK-PINK-45,,,4-5Y,,,,,,,,3299.00,3999.00,1900.00,TRUE,,,,,,shopify,25,DENY,380,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga_model.jpg,2,Blush Rose Net Lehenga - Model View,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga_model.jpg,,,,,,,,,,,,,,,,,
,blush-rose-net-lehenga,,,,,,,,MEEK-PINK-67,,,6-7Y,,,,,,,,3299.00,3999.00,1900.00,TRUE,,,,,,shopify,25,DENY,400,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga_swirl.jpg,3,Blush Rose Net Lehenga - Fabric Detail,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_pink_net_lehenga_swirl.jpg,,,,,,,,,,,,,,,,,
Forest Vrindavan Lehenga,forest-vrindavan-green-lehenga,"<p>Inspired by nature, this deep emerald green lehenga is adorned with crisp white floral embroidery and dainty silver gota patti accents. Made from breathable 100% organic cotton for effortless play.</p><ul><li>Fabric: 100% Pure Organic Cotton</li><li>Embroidery: White Threadwork &amp; Silver Gota Patti</li><li>Set Includes: Strappy Top &amp; Voluminous Skirt</li><li>Care: Gentle Hand Wash</li></ul>",Meeeku,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Indian Ethnic Lehengas,"Ethnic, Lehenga, Green, Organic Cotton, Floral Embroidery, Gota Patti, 2-3Y, 4-5Y, 6-7Y",TRUE,Active,MEEK-GRN-23,,Size,2-3Y,,,,,,,,3199.00,3899.00,1600.00,TRUE,,,,,,shopify,25,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga.jpg,1,Forest Vrindavan Lehenga - Flatlay,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_green_lehenga.jpg,FALSE,Forest Vrindavan Lehenga - Meeeku,Shop Forest Vrindavan Lehenga at Meeeku.,,Apparel & Accessories > Clothing > Cultural & Traditional Clothing,Unisex,Kids,,,,New,FALSE,,,,,
